회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]자산(*)(IFRS연결),[제조]      유형자산(*)(IFRS),[제조]      유형자산(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS),[제조]   비유동자산(*)(IFRS연결),[제조]   유동자산(*)(IFRS),[제조]   유동자산(*)(IFRS연결),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS연결)
(주)화신테크,086250,2016/12,69810589,84207635,11179461,48428750,32797975,36054770,34267504,49969584,35543085,34238051,29331586,35166860
(주)화신테크,086250,2017/12,66704035,78335178,30188227,48217304,34360710,33534601,33222598,49749416,33481437,28585762,27444255,32046379
(주)화신테크,086250,2018/12,55260145,,29142274,,25882528,,35726733,,19533412,,21101397,
(주)화신테크,086250,2020/12,46883354,48160760,34436995,34531926,3739069,5625082,38372178,38486019,8511177,9674742,22314558,21187339
디에스티(주),033430,2011/12,37740355,36407270,148098,151210,7748634,10151142,27051798,25248221,10688558,11159050,17528685,15542416
디에스티(주),033430,2012/12,32731630,,87549,,8322837,,16291317,,16440313,,12653582,
디에스티(주),033430,2013/12,43446391,43542438,12681,12681,6798540,6798540,24727903,24823950,18718488,18718488,17424459,17520506
디에스티(주),033430,2014/12,101584031,181113794,28995,37484865,6524919,34617033,85619366,152718132,15964664,28395662,42671138,39412816
디에스티(주),033430,2015/12,59726794,174294381,125509,33270029,12058262,29130408,41441367,109385083,18285427,64909298,22278744,35716648
디에스티(주),033430,2016/12,51542815,78632564,1860855,12715364,14596411,31222353,27950666,33556919,23592149,45075645,13382324,11320878
디에스티(주),033430,2017/12,53426575,59743222,2598591,10435349,22576838,33156724,21721247,29709004,31705328,30034218,17397502,2040055
디에스티(주),033430,2018/12,56083115,57013369,2439252,3414495,27598527,27598527,18579399,19420689,37503717,37592680,16977158,17552865
디에스티(주),033430,2019/12,54460349,54525328,14954809,15005667,20809840,20809840,30719586,30780444,23740763,23744885,4082055,3861415
디에스티(주),033430,2020/12,55868526,55921767,14728262,14779120,18085601,18085601,30138391,30189249,25730135,25732518,3365972,3120453
럭슬(주),033600,2011/12,84482471,88266373,51523613,61213369,54333121,74983938,68439115,71267167,16043356,16999206,43683438,41370895
럭슬(주),033600,2012/12,77725680,78842640,49356145,57337607,47203255,62510922,66781021,67645925,10944658,11196715,39720769,35996672
럭슬(주),033600,2013/12,75998522,71115869,48922249,48922249,48396065,48396065,65168909,56109246,10829613,15006623,34531598,27772369
럭슬(주),033600,2014/12,70349702,73373304,47146129,47146129,62798066,62798066,57249122,55526122,13100580,17847182,29057476,30211557
럭슬(주),033600,2015/12,60596520,,44700446,,48233070,,52021398,,8575121,,26262356,
럭슬(주),033600,2016/12,54897483,,40109965,,38756334,,47240843,,7656640,,21183292,
