[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
49.74,0.79,2.21,-0.55,195.41,3.47,10462.55,-2.09,12.32,2012,0
50.26,0.71,1.96,-5.57,129.28,-6.58,8673.04,-5.98,5.84,2013,0
49.65,0.68,1.64,-35.83,95.71,-8.21,6742.3,-22.88,-15.43,2014,0
53.02,0.97,2.18,-3.02,160.48,-34.62,7079.77,1.46,16.36,2015,0
54.8,1.06,2.35,8.69,131.99,51.67,7579.54,6.98,19.74,2016,0
53.47,0.92,2.01,10.59,123.46,0.33,7497.32,-0.04,12.5,2017,0
46.88,1.21,2.19,21.42,120.05,44.96,10032.48,0.85,22.55,2018,0
67.05,0.73,1.82,-4.1,237.77,92.79,5651.25,-0.86,20.07,2011,0
62.39,0.76,1.06,-11.07,184.28,-1.87,4239.96,-12.81,10.71,2012,0
61.19,0.7,0.94,-25.05,132.68,-23.48,3107.13,9.47,23.54,2013,0
62.36,0.78,1.11,1.75,121.07,2.74,3222.73,2.34,35.47,2014,0
70.44,1.12,1.66,8.57,172.42,-0.88,4845.93,6.69,25.54,2015,0
35.14,1.03,2.55,71.74,118.06,42.1,9751.44,-5.27,10.51,2017,0
47.42,1.32,3.6,-8.15,145.15,-4.26,15792.39,8.75,19.81,2018,0
56.1,0.59,2.0,19.9,285.12,23.49,6530.9,5.27,37.88,2012,0
53.0,0.6,1.83,17.6,159.69,27.31,7260.93,4.75,31.5,2013,0
48.1,0.49,1.32,28.62,142.22,76.54,3142.81,1.19,30.92,2016,0
42.46,0.4,0.95,19.75,143.02,21.58,3155.43,-4.88,17.76,2017,0
37.48,0.35,0.87,26.06,104.75,27.07,2645.97,-5.39,6.38,2018,0
49.11,1.2,2.82,-6.63,125.14,-11.36,1594.21,-10.2,6.17,2011,0
58.66,1.29,2.94,-13.3,144.56,-6.04,1516.3,1.27,17.33,2012,0
57.15,1.41,3.17,5.27,153.92,-7.33,1525.13,1.12,16.75,2013,0
58.49,1.16,3.05,-0.31,176.34,-9.97,1326.65,-1.29,18.45,2014,0
58.02,1.26,3.64,6.64,177.31,1.93,1424.45,3.46,20.46,2015,0
