[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
20.49,12.28,9.25,28.38,2723.74,70.86,42.26,81.49,37.03,2018,0
10.87,-21.91,7.76,15.41,3443.61,99.44,46.72,53.58,52.64,2011,0
-1.46,3.62,6.13,21.3,3568.23,82.49,53.93,55.85,37.84,2012,0
-14.66,13.53,6.27,19.63,4051.07,83.58,40.88,70.73,49.72,2013,0
-2.47,28.86,6.31,36.77,5220.16,62.09,49.43,81.45,55.74,2014,0
-0.54,26.99,5.39,58.44,6407.62,35.86,69.05,86.33,53.43,2015,0
-6.57,-6.27,7.12,55.11,6213.35,40.86,63.31,89.81,-4.6,2016,0
-1.61,0.67,8.03,57.31,6255.12,39.7,63.96,90.78,-5.68,2017,0
12.54,6.07,9.47,41.0,6407.62,56.82,50.33,87.42,35.66,2018,0
11.53,8.24,3.19,34.07,1264.93,63.74,44.81,86.58,49.65,2011,0
3.18,1.86,3.57,20.82,1288.46,78.63,32.79,85.47,45.38,2012,0
21.08,0.85,3.74,17.12,1284.36,78.77,43.92,71.2,38.86,2013,0
-0.68,5.46,4.13,6.03,1266.53,95.71,27.65,75.6,38.93,2014,0
0.37,-6.45,3.94,11.49,1127.74,90.73,36.02,70.52,3.41,2015,0
-0.07,-5.56,3.61,14.05,1009.39,91.62,39.18,66.38,17.43,2016,0
-4.54,-18.55,3.26,2.74,822.16,107.3,38.98,56.87,-31.58,2017,0
6.92,-3.46,3.3,4.88,793.74,110.49,43.18,51.42,33.88,2018,0
2.91,1.42,5.24,32.29,800.72,66.64,41.45,87.86,28.14,2011,0
0.42,0.17,5.47,37.1,802.11,60.71,46.79,87.65,17.62,2012,0
1.81,1.38,5.49,43.71,813.16,55.44,51.61,87.28,37.74,2013,0
3.1,2.67,6.85,49.93,834.86,45.58,60.39,86.91,49.23,2014,0
12.76,4.75,8.87,38.78,874.48,53.2,57.05,80.73,43.23,2015,0
15.09,18.23,9.49,55.8,1033.9,33.19,72.47,82.93,56.86,2016,0
21.9,23.36,9.26,61.79,1275.44,26.58,77.69,83.93,62.74,2017,0
28.63,24.6,8.36,63.13,1589.21,23.6,80.82,81.3,66.47,2018,0
-4.87,16.6,6.08,-8.83,58.57,131.41,50.29,37.83,0.0,2011,0
-6.54,-18.85,14.7,-1.06,42.59,104.65,65.62,32.85,0.0,2012,1
187.78,264.38,1.41,66.84,477.88,23.43,81.57,78.65,0.0,2018,0
75.19,93.07,2.99,43.44,1077.86,42.79,69.7,70.81,33.41,2012,0
-11.72,6.02,2.54,53.14,1029.21,39.35,66.53,85.04,3.57,2013,0
3.38,-0.92,2.77,46.9,1016.41,42.45,65.4,81.5,6.32,2014,0
1.51,2.99,2.41,51.9,1038.19,37.31,69.12,82.78,7.96,2015,0
23.79,29.84,2.94,62.3,1011.99,28.25,75.47,86.82,4.65,2016,0
-18.84,-19.18,3.73,58.28,817.93,32.6,71.82,86.46,-95.26,2017,0
-9.22,-8.77,7.75,59.27,746.22,32.06,72.14,86.9,-16.83,2018,0
7.19,333.24,5.87,-9.22,63.55,142.27,56.56,30.53,-36.55,2011,0
-5.27,7.8,9.62,-2.19,59.16,132.02,54.13,34.74,-32.68,2012,0
-7.28,24.89,10.54,-4.53,58.16,114.97,46.2,46.8,-17.54,2013,0
6.6,27.64,9.18,13.67,71.0,92.91,47.94,56.03,21.43,2014,0
87.35,130.48,9.71,18.05,128.93,83.25,42.62,68.93,-6.68,2015,0
14.57,7.36,8.03,11.78,133.91,102.82,33.59,64.59,-31.19,2016,0
-2.33,16.06,8.62,21.0,149.46,78.47,39.77,76.75,16.64,2017,0
2.79,9.24,9.58,24.32,162.58,71.27,41.86,81.57,44.12,2018,0
-2.12,-2.68,6.62,7.93,1252.11,151.39,32.08,44.86,53.05,2011,0
5.98,8.83,6.36,2.05,1362.66,153.61,28.88,46.3,60.33,2012,0
16.63,-15.23,8.54,-3.86,1155.16,222.22,34.42,29.51,32.07,2013,0
-2.42,-5.22,8.44,10.91,1094.87,156.78,39.23,38.76,51.06,2014,0
-7.7,-7.48,7.59,-2.75,1012.92,180.75,29.86,38.81,46.78,2015,0
-16.09,17.28,7.48,-8.85,1187.96,171.34,33.54,38.79,62.91,2016,0
3.19,0.3,8.99,-0.67,1183.3,168.75,33.8,39.23,56.42,2017,0
-8.48,23.23,8.41,-5.35,1395.61,131.73,34.04,50.07,65.4,2018,0
13.3,12.28,3.9,56.38,1025.65,37.34,67.12,88.08,54.0,2011,0
5.66,8.98,3.26,54.85,1117.7,40.9,62.84,90.84,49.28,2012,0
0.5,3.72,3.94,57.42,1159.27,39.31,63.15,93.75,29.83,2013,0
9.26,2.81,3.75,54.42,1193.09,39.03,65.57,88.21,28.37,2014,0
-1.78,1.8,3.32,52.17,1214.61,43.09,60.6,91.43,23.03,2015,0
1.31,1.83,3.84,54.62,1236.81,41.82,61.56,91.9,19.85,2016,0
4.18,2.87,4.91,54.43,1272.29,41.61,62.25,90.74,35.15,2017,1
9.55,8.11,4.05,51.26,819.44,37.43,71.08,77.25,61.37,2011,0
-7.65,1.74,4.4,57.45,833.7,35.61,69.69,85.11,51.38,2012,0
7.7,9.41,4.29,61.94,912.12,31.38,72.87,86.46,54.36,2013,0
9.44,9.92,3.71,65.38,1002.62,28.03,75.66,86.84,56.27,2014,0
-0.82,3.32,5.09,67.38,1035.9,28.71,74.03,90.46,34.74,2015,0
187.78,199.23,12.1,81.09,1517.6,10.54,90.39,91.23,80.73,2016,0
-3.84,2.08,4.99,80.02,1549.23,17.55,83.0,95.2,69.44,2017,0
19.81,4.08,3.76,71.83,1612.51,14.79,87.55,84.14,58.13,2018,0
61.81,66.06,11.69,61.71,828.39,32.82,70.16,90.94,66.64,2011,0
28.92,22.18,6.11,55.02,685.78,36.67,68.4,86.19,62.15,2012,0
19.03,15.03,8.2,50.57,788.82,48.45,59.82,82.93,54.68,2013,0
9.26,9.62,6.75,41.92,864.73,54.32,55.11,82.65,49.4,2014,0
4.26,4.67,4.04,35.87,902.18,60.26,49.59,83.65,45.84,2015,0
113.72,59.52,4.53,53.81,975.79,50.66,66.48,66.17,42.52,2016,0
40.52,11.31,6.23,42.4,953.4,67.81,63.26,54.18,2.05,2017,0
27.79,22.99,7.86,49.98,1044.86,46.05,69.2,66.89,-14.82,2018,0
52.63,311.63,10.97,57.24,1885.51,21.13,84.78,72.04,61.26,2014,0
11.76,1.47,9.83,54.82,956.61,24.54,83.72,66.33,-44.97,2015,0
15.01,3.29,6.57,41.66,988.04,58.03,65.6,59.28,42.77,2016,0
11.25,-5.69,3.33,23.54,931.85,79.57,59.44,50.98,-69.98,2017,0
0.02,-7.71,6.29,11.1,844.64,94.31,52.54,50.32,-101.02,2018,0
-31.57,-36.73,12.99,60.0,155.55,38.87,75.33,63.46,-38.91,2018,0
130.32,111.26,9.05,5.08,892.85,118.79,11.19,74.76,77.42,2017,0
