[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
33.61,19.8,8.7,34.78,3.95,-67.9,0.0,-30.26,-25.3,2011,0
23.01,7.23,10.54,-5.41,6.94,-36.3,127.11,-14.69,-5.16,2012,0
25.34,0.53,25.0,3.61,3.6,-169.45,0.0,-52.45,56.91,2013,0
21.7,-29.83,8.9,-17.04,8.37,-75.65,0.0,-66.42,-0.3,2014,0
40.62,24.07,10.79,37.32,3.12,-58.13,166.4,-30.52,29.5,2015,0
38.48,17.99,14.7,18.22,2.38,-63.01,162.88,-29.31,40.0,2016,0
38.81,16.71,8.7,12.11,3.64,-40.74,124.53,-23.13,39.36,2017,0
23.7,-11.26,9.0,-13.33,3.17,-79.61,284.47,-36.15,5.5,2018,0
85.25,68.71,0.0,59.78,17.47,14.23,0.0,17.29,0.0,2011,0
86.35,72.2,0.0,9.49,19.08,15.68,69.25,15.53,0.0,2012,0
90.77,77.3,0.0,9.44,19.08,15.38,69.77,13.9,0.0,2013,0
92.01,76.52,0.0,14.51,14.86,17.15,65.7,15.04,0.0,2014,0
79.74,62.51,0.16,19.63,8.93,17.01,64.96,15.2,0.0,2015,0
74.41,58.37,0.06,8.87,12.55,16.87,62.34,18.08,-79.93,2016,0
61.55,44.21,0.0,15.97,11.94,15.17,64.8,17.75,55.65,2017,0
64.4,45.6,0.0,20.74,10.52,17.87,62.27,22.21,-40.51,2018,0
79.63,54.72,42.19,187.78,12.27,22.88,10.98,37.97,0.0,2013,0
42.98,25.08,28.43,29.91,15.15,16.73,11.57,33.91,149.52,2014,0
27.03,2.85,90.55,-21.74,21.11,-35.15,0.0,-30.75,0.0,2015,0
57.76,49.47,147.47,23.68,3.53,-200.99,0.0,-26.96,15.52,2016,0
39.63,1.08,54.64,-28.61,8.71,-260.27,0.0,-48.3,-43.8,2018,0
49.18,13.96,10.74,49.22,4.72,1.51,66.79,3.18,63.03,2011,0
40.82,7.21,38.42,13.4,2.87,-11.32,459.37,-11.13,2.44,2012,0
51.37,8.18,55.97,-4.02,3.88,-29.82,0.0,-50.5,-8.65,2013,0
62.27,6.07,101.32,-27.26,3.22,-52.66,0.0,-105.82,-54.8,2014,0
42.19,24.38,33.77,1.13,4.53,6.33,66.22,5.92,-39.85,2016,0
44.41,31.95,30.72,13.39,2.85,1.79,73.29,1.14,0.0,2017,0
41.86,28.54,35.78,-17.14,2.99,-41.72,268.24,-28.66,35.59,2018,0
29.85,4.54,24.74,32.47,11.88,6.63,24.74,14.78,39.06,2015,0
25.75,-2.02,19.77,11.96,16.95,5.61,18.59,12.09,29.82,2016,0
27.17,0.61,24.65,1.67,11.05,3.22,22.12,5.84,16.11,2017,0
25.74,-0.4,36.78,3.94,8.62,5.03,30.51,7.73,3.95,2018,0
37.95,6.42,32.84,44.44,7.87,10.86,41.28,30.13,200.5,2011,0
47.23,34.64,16.51,-16.48,5.9,-4.07,78.32,-2.63,-14.1,2014,0
71.42,43.87,17.41,-11.57,5.81,-11.5,111.14,-7.51,-85.89,2015,0
61.94,48.97,18.11,-15.21,7.13,5.16,72.28,3.85,-37.71,2016,0
62.03,51.27,17.5,-4.12,8.1,-1.23,93.31,-0.57,105.25,2017,0
42.26,28.38,14.04,20.49,9.25,15.56,62.97,11.36,37.71,2018,0
46.72,15.41,35.03,10.87,7.76,10.52,47.36,11.85,110.56,2011,0
53.93,21.3,40.61,-1.46,6.13,1.87,62.16,6.79,-26.92,2012,0
40.88,19.63,35.61,-14.66,6.27,11.7,50.28,12.59,4.09,2013,0
49.43,36.77,22.12,-2.47,6.31,21.93,44.26,27.59,-20.09,2014,0
69.05,58.44,22.18,-0.54,5.39,25.05,46.57,23.61,-75.25,2015,0
63.31,55.11,17.34,-6.57,7.12,-4.16,104.6,-4.99,-26.47,2016,0
63.96,57.31,16.64,-1.61,8.03,-3.68,105.68,-1.77,7.22,2017,0
50.33,41.0,13.39,12.54,9.47,19.08,64.34,6.58,11.63,2018,0
44.81,34.07,25.1,11.53,3.19,13.62,50.35,7.0,-14.87,2011,0
32.79,20.82,26.63,3.18,3.57,12.33,54.62,7.24,22.44,2012,0
43.92,17.12,21.02,21.08,3.74,6.72,61.14,3.79,0.0,2013,0
27.65,6.03,19.72,-0.68,4.13,8.13,61.07,4.31,0.0,2014,0
36.02,11.49,25.89,0.37,3.94,-10.06,96.59,-5.87,7.77,2015,0
39.18,14.05,27.03,-0.07,3.61,-3.99,82.57,-2.77,9.87,2016,0
38.98,2.74,26.86,-4.54,3.26,-16.68,131.58,-14.48,-9.92,2017,0
43.18,4.88,26.2,6.92,3.3,7.03,66.12,6.83,37.52,2018,0
41.45,32.29,11.77,2.91,5.24,5.34,71.86,3.05,30.96,2011,0
46.79,37.1,13.01,0.42,5.47,3.45,82.38,2.17,41.06,2012,0
51.61,43.71,13.5,1.81,5.49,9.41,62.26,6.29,22.59,2013,0
60.39,49.93,12.97,3.1,6.85,10.03,50.77,8.36,9.27,2014,0
57.05,38.78,15.71,12.76,8.87,9.47,56.77,10.69,49.11,2015,0
72.47,55.8,19.49,15.09,9.49,18.27,43.14,20.07,0.0,2016,0
77.69,61.79,17.09,21.9,9.26,21.55,37.26,26.83,16.53,2017,0
80.82,63.13,17.13,28.63,8.36,23.19,33.53,28.76,41.3,2018,0
50.29,-8.83,31.24,-4.87,6.08,-16.22,0.0,-33.54,0.0,2011,0
81.57,66.84,8.04,187.78,1.41,-170.43,0.0,-34.1,0.0,2018,0
69.7,43.44,45.01,75.19,2.99,20.2,66.59,32.23,-55.02,2012,0
66.53,53.14,50.29,-11.72,2.54,5.39,96.43,4.88,644.97,2013,0
65.4,46.9,32.26,3.38,2.77,2.06,93.68,2.08,0.0,2014,0
69.12,51.9,35.35,1.51,2.41,1.72,92.04,1.57,-85.89,2015,0
75.47,62.3,41.98,23.79,2.94,0.7,95.35,0.51,582.0,2016,0
