[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
2.7,6.84,12.91,67.05,2661.34,29.59,72.62,92.53,58.43,2017,0
-3.81,6.52,5.93,54.25,2054.27,41.36,63.99,87.06,59.33,2016,0
2.86,1.75,7.66,42.5,2042.64,52.48,54.57,86.56,52.76,2018,0
43.97,199.97,13.74,40.44,2069.5,51.59,59.4,78.69,60.32,2017,0
45.44,51.56,59.98,66.65,2133.79,27.7,74.76,91.1,0.0,2018,0
187.78,333.24,8.51,69.53,2004.7,14.23,88.46,81.07,82.66,2018,0
18.52,25.73,4.54,48.87,2301.4,45.27,63.3,81.07,66.88,2011,0
2.53,10.1,4.95,52.6,2533.95,42.88,63.93,84.12,53.11,2012,0
1.95,3.68,5.42,47.63,2627.1,46.01,60.61,85.61,26.14,2013,0
5.36,2.26,3.35,28.88,2686.4,67.33,44.37,82.62,25.76,2014,0
-7.65,-4.65,3.5,28.89,2561.6,68.05,42.06,85.15,7.82,2015,0
-8.97,-12.6,4.27,26.98,2238.89,68.5,44.0,81.75,3.35,2016,0
4.33,-1.62,5.29,24.71,2202.68,70.34,45.78,77.09,15.98,2017,0
13.79,1.51,4.63,32.03,2235.87,72.7,50.0,68.77,19.3,2018,0
27.13,64.85,6.16,18.32,2039.22,76.42,48.81,66.99,69.0,2013,0
-2.24,7.98,5.14,16.76,2201.92,82.29,39.12,73.99,58.2,2014,0
58.34,1.02,7.1,17.12,2224.42,101.55,40.15,58.94,43.9,2015,0
7.85,3.59,5.1,17.97,2302.3,90.95,50.03,54.95,39.36,2016,0
-18.7,-19.01,4.7,13.28,2834.37,103.86,26.03,71.22,0.0,2018,0
18.88,47.56,8.09,28.86,2128.5,49.78,73.03,54.18,58.47,2012,0
42.95,26.26,6.05,27.7,2687.53,45.55,78.2,47.86,57.45,2013,0
63.87,-39.53,3.4,-19.67,362.34,180.16,53.3,25.92,0.0,2017,0
15.36,15.69,6.08,17.32,2276.99,79.34,48.38,65.06,65.55,2016,0
