[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
70.16,61.71,61.81,11.69,66.64,15.46,275.01,24.97,23.01,2011,0
68.4,55.02,28.92,6.11,62.15,37.52,36.53,18.86,16.95,2012,0
59.82,50.57,19.03,8.2,54.68,25.98,51.31,15.25,13.92,2013,0
55.11,41.92,9.26,6.75,49.4,26.72,22.09,11.96,10.6,2014,0
49.59,35.87,4.26,4.04,45.84,42.82,17.06,11.4,7.26,2015,0
66.48,53.81,113.72,4.53,42.52,45.98,42.14,8.98,4.94,2016,0
63.26,42.4,40.52,6.23,2.05,38.06,54.0,-4.54,-2.85,2017,0
69.2,49.98,27.79,7.86,-14.82,25.29,7.13,-8.01,-10.14,2018,0
84.78,57.24,52.63,10.97,61.26,8.04,25.15,4.93,2.37,2014,0
83.72,54.82,11.76,9.83,-44.97,8.63,19.51,1.11,1.06,2015,0
65.6,41.66,15.01,6.57,42.77,12.32,143.08,2.84,3.29,2016,0
59.44,23.54,11.25,3.33,-69.98,32.44,31.19,-7.89,-5.98,2017,0
52.54,11.1,0.02,6.29,-101.02,25.54,17.03,-9.16,-11.29,2018,0
75.33,60.0,-31.57,12.99,-38.91,0.0,-0.08,-53.32,-52.21,2018,0
11.19,5.08,130.32,9.05,77.42,0.0,170.38,41.16,42.78,2017,0
60.17,35.69,48.08,7.68,42.26,49.32,61.67,8.53,14.51,2018,0
83.63,79.69,80.29,26.52,72.61,9.1,52.64,26.53,22.05,2018,0
58.64,16.98,74.13,4.15,48.23,57.62,66.8,9.23,25.23,2012,0
60.89,34.16,41.26,6.22,55.74,36.84,33.57,11.17,33.13,2013,0
33.29,9.99,-19.54,4.34,21.92,58.11,37.25,-6.08,-8.09,2014,0
37.54,-1.27,55.35,4.72,-115.1,46.97,45.45,-17.24,-17.89,2015,0
23.28,-16.71,-23.32,4.16,0.0,49.11,-5.81,-76.46,-68.88,2016,0
25.53,-11.05,-4.76,4.9,0.0,29.85,-7.56,-43.25,-41.36,2017,0
76.43,39.45,21.28,3.48,45.7,53.21,19.2,4.57,15.57,2014,0
68.88,23.29,39.37,3.2,24.36,51.7,83.97,0.68,2.53,2015,0
67.53,22.72,-3.21,4.14,9.01,45.68,-10.03,-2.38,-8.08,2017,0
70.13,36.14,3.91,3.69,-114.95,55.19,-4.42,-13.01,-54.1,2018,0
62.49,26.16,-8.73,0.93,18.12,28.17,-36.38,2.78,9.11,2011,0
58.77,21.35,-34.53,7.23,0.0,34.19,-29.23,-37.44,-82.64,2013,0
55.36,24.79,73.17,3.39,0.0,94.51,87.49,-99.17,-52.08,2014,0
56.58,0.52,187.78,3.89,56.97,15.16,333.07,1.94,1.46,2017,0
52.31,14.15,9.71,6.08,56.7,5.76,20.51,8.12,9.9,2018,0
63.93,17.65,5.03,4.2,44.83,19.09,-0.39,5.52,12.14,2011,0
62.48,30.5,-0.55,4.11,-8.7,28.56,3.47,-2.57,-4.17,2012,0
62.88,14.24,-5.57,4.43,-111.1,25.5,-6.58,-8.18,-11.97,2013,0
46.9,-2.1,-35.83,3.92,0.0,23.48,-8.21,-32.1,-45.73,2014,0
64.2,24.2,-3.02,5.43,24.48,21.28,-34.62,1.5,2.85,2015,0
50.05,12.13,8.69,5.31,37.07,22.01,51.67,6.89,12.94,2016,0
54.69,10.39,10.59,4.12,13.0,35.74,0.33,-0.04,0.14,2017,0
45.9,7.67,21.42,5.68,42.94,29.42,44.96,0.78,2.46,2018,0
50.89,29.49,-4.1,3.94,15.22,41.38,92.79,-1.3,-5.83,2011,0
44.68,11.0,-25.05,3.78,32.33,46.42,-23.48,18.38,18.62,2013,0
44.14,7.68,1.75,3.89,28.26,33.8,2.74,3.78,3.86,2014,0
49.01,20.58,8.57,3.85,46.36,20.29,-0.88,7.56,10.1,2015,0
53.34,21.39,18.53,2.77,47.24,37.01,8.45,12.65,12.56,2016,0
