[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
21.03,1.12,2.7,55.43,84.87,14.49,17405.01,12.14,22.24,2017,0
69.88,1.16,0.98,52.68,433.49,99.66,2507.61,2.98,25.63,2014,0
74.92,0.98,1.09,-7.35,245.27,-7.92,2593.47,2.17,27.12,2018,0
58.94,1.44,1.5,58.34,174.36,55.65,17334.07,2.88,28.12,2015,0
54.95,1.06,1.41,7.85,156.04,-9.95,18887.33,1.05,23.86,2016,0
81.49,1.42,7.81,3.86,514.24,-24.04,6517.72,3.9,12.13,2014,0
85.86,1.36,8.87,-0.38,620.41,1.38,6434.61,4.05,11.62,2015,0
62.53,2.05,2.25,9.88,127.09,-1.33,17506.31,4.39,18.29,2014,0
86.27,0.86,2.93,28.05,579.9,9.04,10363.64,21.61,47.42,2018,0
62.32,0.43,1.39,8.72,231.13,0.9,2586.61,5.73,85.72,2017,0
40.29,1.22,3.18,-3.07,95.83,-12.09,6794.41,4.61,25.36,2012,0
49.82,1.51,3.78,24.63,129.84,14.87,6743.73,10.52,24.52,2014,0
66.38,1.86,2.04,42.48,170.13,60.46,18887.77,9.64,35.13,2018,0
67.44,0.87,1.32,12.17,150.25,9.47,18965.89,10.37,37.02,2013,0
83.97,0.76,4.97,16.24,542.55,-2.38,2615.39,23.72,85.72,2016,0
85.02,0.69,5.62,14.58,592.87,11.22,3092.35,23.63,85.72,2018,0
95.08,1.26,2.68,15.42,1509.12,12.78,6814.91,18.49,53.06,2017,0
68.73,0.8,2.34,35.93,219.18,43.79,6882.42,1.56,15.37,2017,0
84.73,0.94,1.65,15.47,386.84,1.5,6840.57,18.08,64.55,2016,0
60.57,1.12,4.01,18.81,171.51,29.81,17671.66,-1.66,10.18,2015,0
61.27,1.36,4.11,3.87,173.52,10.67,18122.09,2.4,17.51,2016,0
74.81,0.32,14.14,50.03,2214.57,9.85,6289.49,20.35,85.72,2013,0
77.47,0.21,14.14,12.29,442.2,70.58,6573.11,15.7,85.72,2014,0
95.2,0.23,7.84,-13.73,2214.57,170.53,5899.27,13.31,84.09,2015,0
95.2,0.31,3.06,12.67,1891.62,201.03,6734.49,15.22,85.72,2016,0
95.12,0.32,2.29,1.63,1794.01,-7.35,7283.28,13.92,83.27,2017,0
95.2,0.27,2.27,6.88,2162.08,-13.11,6343.8,12.15,85.72,2018,0
81.38,0.8,1.29,0.75,295.22,4.04,6637.63,4.98,32.52,2011,0
71.87,0.88,1.33,17.21,717.14,3.87,6522.27,-5.19,16.16,2012,0
71.09,0.89,1.98,-3.48,239.27,-3.98,2575.54,2.25,45.09,2014,0
74.83,0.84,2.27,4.84,299.31,-24.8,2535.0,6.98,49.77,2015,0
83.07,0.73,3.16,2.59,492.15,-4.47,2636.26,5.29,47.1,2018,0
65.79,2.6,2.57,-10.9,160.47,-8.19,6707.61,7.14,15.69,2015,0
32.73,0.92,1.53,39.02,69.29,40.85,18093.84,10.27,33.78,2014,0
62.82,1.42,1.86,23.37,119.37,18.94,18780.37,3.65,31.58,2016,0
88.45,0.4,0.3,104.33,708.44,33.02,2206.0,-8.72,35.27,2014,0
25.73,1.31,2.39,-23.27,55.0,7.49,17795.81,-31.47,-1.66,2014,0
38.42,1.52,9.66,-0.31,220.06,19.04,18695.94,-8.15,8.59,2016,0
46.91,1.34,6.12,46.11,155.79,286.78,14262.18,-5.66,10.55,2018,0
79.3,1.95,3.44,13.49,384.66,-0.16,2666.35,3.32,14.09,2011,0
84.78,1.22,4.15,65.54,581.96,-9.63,3103.27,2.7,14.72,2015,0
89.61,1.0,4.82,-2.88,828.34,-13.93,2388.25,2.62,15.04,2016,0
46.39,1.24,1.61,1.45,82.87,-0.5,17862.7,3.34,18.91,2018,0
91.46,0.67,1.87,-12.52,937.72,-15.2,1223.93,-18.92,-16.61,2012,0
