[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
83.63,0.89,9.1,6.78,26.52,52.64,26.53,22.05,72.61,2018,0
58.64,1.16,57.62,114.38,4.15,66.8,9.23,25.23,48.23,2012,0
60.89,1.5,36.84,112.43,6.22,33.57,11.17,33.13,55.74,2013,0
33.29,0.9,58.11,89.32,4.34,37.25,-6.08,-8.09,21.92,2014,0
37.54,0.77,46.97,86.61,4.72,45.45,-17.24,-17.89,-115.1,2015,0
25.53,0.79,29.85,95.18,4.9,-7.56,-43.25,-41.36,0.0,2017,0
21.25,0.82,33.56,197.13,5.86,-1.37,-64.15,-82.58,0.0,2018,0
68.88,1.07,51.7,120.29,3.2,83.97,0.68,2.53,24.36,2015,0
65.07,1.14,52.45,109.87,3.35,-1.67,-2.97,-6.79,1.0,2016,0
67.53,1.44,45.68,124.55,4.14,-10.03,-2.38,-8.08,9.01,2017,0
70.13,1.27,55.19,281.62,3.69,-4.42,-13.01,-54.1,-114.95,2018,0
62.49,1.47,28.17,119.19,0.93,-36.38,2.78,9.11,18.12,2011,0
55.36,0.33,94.51,73.15,3.39,87.49,-99.17,-52.08,0.0,2014,0
56.58,0.33,15.16,134.3,3.89,333.07,1.94,1.46,56.97,2017,0
52.31,0.63,5.76,63.02,6.08,20.51,8.12,9.9,56.7,2018,0
63.93,1.0,19.09,97.65,4.2,-0.39,5.52,12.14,44.83,2011,0
62.48,0.79,28.56,101.06,4.11,3.47,-2.57,-4.17,-8.7,2012,0
62.88,0.71,25.5,98.99,4.43,-6.58,-8.18,-11.97,-111.1,2013,0
46.9,0.68,23.48,101.39,3.92,-8.21,-32.1,-45.73,0.0,2014,0
64.2,0.97,21.28,88.6,5.43,-34.62,1.5,2.85,24.48,2015,0
50.05,1.06,22.01,82.49,5.31,51.67,6.89,12.94,37.07,2016,0
54.69,0.92,35.74,87.03,4.12,0.33,-0.04,0.14,13.0,2017,0
45.9,1.21,29.42,113.3,5.68,44.96,0.78,2.46,42.94,2018,0
50.89,0.73,41.38,49.14,3.94,92.79,-1.3,-5.83,15.22,2011,0
45.81,0.76,48.34,60.27,3.89,-1.87,-23.44,-34.39,-150.53,2012,0
44.68,0.7,46.42,63.42,3.78,-23.48,18.38,18.62,32.33,2013,0
44.14,0.78,33.8,60.37,3.89,2.74,3.78,3.86,28.26,2014,0
49.01,1.12,20.29,41.96,3.85,-0.88,7.56,10.1,46.36,2015,0
53.34,0.84,37.01,48.23,2.77,8.45,12.65,12.56,47.24,2016,0
61.39,1.03,63.83,184.59,4.24,42.1,-4.97,-11.22,4.01,2017,0
59.76,1.32,45.22,110.87,6.07,-4.26,6.17,21.34,58.98,2018,0
68.56,0.59,59.6,78.25,1.35,23.49,8.5,10.45,44.92,2012,0
65.96,0.6,54.81,88.68,1.5,27.31,7.91,8.73,46.83,2013,0
71.54,0.42,56.38,105.55,1.38,0.75,0.87,0.82,28.39,2014,0
69.86,0.49,42.57,59.93,1.61,6.22,1.4,1.33,26.99,2015,0
58.63,0.49,46.99,107.89,1.71,76.54,2.47,2.18,35.55,2016,0
58.0,0.4,76.38,135.5,1.52,21.58,-12.36,-10.83,-19.66,2017,0
58.16,1.2,33.63,103.64,3.93,-11.36,-8.42,-19.89,-51.76,2011,0
