[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
60.41,26.96,7.62,5.87,41.78,26.04,11.24,4.23,8.31,2011,0
55.51,32.48,3.77,6.02,38.52,20.73,24.38,3.71,6.14,2017,0
69.7,31.24,2.56,8.97,64.87,1.06,5.15,5.97,6.04,2018,0
72.96,21.7,8.7,12.39,44.15,5.07,21.78,0.48,-0.54,2015,0
51.68,-20.81,-29.62,6.55,49.13,58.84,-11.41,4.15,26.08,2015,0
24.61,-19.57,5.06,5.5,41.83,33.55,0.1,1.78,1.62,2013,0
28.29,-12.06,7.54,3.59,54.42,57.9,2.3,12.62,11.52,2014,0
20.44,-26.05,-1.82,3.51,64.09,47.21,8.92,21.26,19.94,2015,0
17.35,-15.99,4.48,3.64,57.93,45.92,8.54,17.35,13.69,2016,0
21.45,-12.72,14.69,3.68,67.3,62.93,9.0,16.03,12.92,2017,0
22.72,-19.17,-3.94,3.13,60.71,63.4,-5.5,8.99,6.92,2018,0
45.88,36.8,-10.6,7.14,-12.84,20.6,72.06,-5.51,-9.28,2017,0
63.35,52.81,55.03,2.69,42.19,27.59,25.69,11.85,10.37,2013,0
57.7,37.71,17.08,2.13,31.35,24.07,35.14,-5.52,-3.16,2014,0
57.52,50.3,1.89,2.86,0.0,23.65,75.17,12.66,6.66,2012,0
61.78,23.25,7.99,3.55,51.82,29.38,-2.62,7.63,20.36,2013,0
64.81,28.24,8.58,4.48,51.25,39.52,0.22,6.81,16.81,2016,0
66.65,31.54,8.38,4.35,46.06,38.61,2.71,5.22,12.14,2017,0
51.38,36.27,7.7,6.98,58.43,23.51,14.35,12.74,9.2,2014,0
54.2,44.94,5.51,7.05,67.52,21.56,-0.6,17.98,12.87,2015,0
62.71,48.31,17.35,7.15,66.99,19.24,-4.46,18.5,11.96,2016,0
50.26,30.9,92.21,9.28,51.57,11.21,115.58,18.18,36.03,2018,0
34.93,10.29,12.34,3.04,39.11,41.2,8.58,0.6,0.34,2016,0
49.26,-13.98,-1.91,11.35,41.11,52.5,11.63,1.72,12.32,2014,0
56.59,30.83,2.65,5.21,0.0,8.69,30.75,-13.95,-21.76,2011,0
66.35,39.44,5.04,4.39,68.37,18.51,11.75,6.77,16.43,2012,0
67.14,48.33,27.86,4.69,69.01,23.82,10.89,9.06,15.89,2015,0
71.05,41.9,16.29,4.21,68.2,24.17,2.45,9.46,14.97,2016,0
12.11,3.45,49.57,15.86,70.71,36.76,121.7,41.16,42.78,2015,0
61.26,27.17,-0.99,9.36,56.35,37.66,2.32,6.87,13.31,2011,0
54.56,29.86,62.05,14.27,68.37,27.79,138.64,7.49,18.45,2014,0
58.18,36.03,14.01,14.32,54.77,25.56,4.91,5.68,8.02,2015,0
