,회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,매출액증가율(IFRS연결)
10395,한국선재(주),25550,2013-12-01,1995-06-19,,  1차 금속 제조업,5,0,-17.36
10413,한국유니온제약(주),80720,2018-12-01,2018-07-26,,  의료용 물질 및 의약품 제조업,5,0,7.51
10427,한국전자인증(주),41460,2012-12-01,2010-11-19,,  출판업,5,0,15.56
10463,한국정보통신(주),25770,2011-12-01,1998-01-20,,  우편 및 통신업,5,0,19.45
10506,한솔아이원스(주),114810,2019-12-01,2013-02-07,,  기타 기계 및 장비 제조업,5,0,-28.31
10508,한솔인티큐브(주),70590,2011-12-01,2004-01-08,,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",5,0,5.8
10509,한솔인티큐브(주),70590,2012-12-01,2004-01-08,,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",5,0,-9.07
10597,해성산업(주),34810,2020-12-01,1999-04-16,,  전문 서비스업,5,0,2266.23
10606,헝셩그룹유한회사,900270,2016-12-01,2016-08-18,,  전문 서비스업,5,0,-1.55
10638,현우산업(주),92300,2018-12-01,2007-10-24,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,15.96
10648,화성밸브(주),39610,2018-12-01,2000-03-16,,  기타 기계 및 장비 제조업,5,0,20.96
10662,휴림네트웍스(주),192410,2015-12-01,2014-08-14,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,-38.27
10678,휴마시스(주),205470,2017-12-01,2014-12-01,,  의료용 물질 및 의약품 제조업,5,0,84983.28
10681,휴마시스(주),205470,2020-12-01,2014-12-01,,  의료용 물질 및 의약품 제조업,5,0,399.61
