,회사명,거래소코드,종가(원),주가변동률,year
298,(주)네오오토,212560,5570.0,-0.9389587073608617,2017
299,(주)네오오토,212560,5910.0,0.05752961082910321,2018
300,(주)네오오토,212560,2905.0,-1.0344234079173837,2019
301,(주)네오오토,212560,8540.0,0.6598360655737705,2020
302,(주)네오위즈,95660,35100.0,-0.43304843304843305,2011
303,(주)네오위즈,95660,20000.0,-0.755,2012
304,(주)네오위즈,95660,16350.0,-0.22324159021406728,2013
305,(주)네오위즈,95660,23400.0,0.30128205128205127,2014
306,(주)네오위즈,95660,15750.0,-0.4857142857142857,2015
307,(주)네오위즈,95660,11800.0,-0.3347457627118644,2016
308,(주)네오위즈,95660,19850.0,0.40554156171284633,2017
309,(주)네오위즈,95660,14100.0,-0.4078014184397163,2018
310,(주)네오위즈,95660,17300.0,0.18497109826589594,2019
311,(주)네오위즈,95660,23400.0,0.2606837606837607,2020
312,(주)네오위즈홀딩스,42420,18500.0,0.3108108108108108,2011
313,(주)네오위즈홀딩스,42420,14200.0,-0.3028169014084507,2012
314,(주)네오위즈홀딩스,42420,13800.0,-0.028985507246376812,2013
315,(주)네오위즈홀딩스,42420,17800.0,0.2247191011235955,2014
316,(주)네오위즈홀딩스,42420,14850.0,-0.19865319865319866,2015
317,(주)네오위즈홀딩스,42420,16050.0,0.07476635514018691,2016
318,(주)네오위즈홀딩스,42420,15350.0,-0.04560260586319218,2017
319,(주)네오위즈홀딩스,42420,14900.0,-0.030201342281879196,2018
320,(주)네오위즈홀딩스,42420,13400.0,-0.11194029850746269,2019
321,(주)네오위즈홀딩스,42420,36300.0,0.6308539944903582,2020
322,(주)네오크레마,311390,7840.0,0.2869897959183674,2020
323,(주)네오티스,85910,4285.0,0.14935822637106183,2011
324,(주)네오티스,85910,5200.0,0.17596153846153847,2012
325,(주)네오티스,85910,4350.0,-0.19540229885057472,2013
326,(주)네오티스,85910,5630.0,0.22735346358792186,2014
327,(주)네오티스,85910,4915.0,-0.14547304170905392,2015
328,(주)네오티스,85910,5160.0,0.04748062015503876,2016
329,(주)네오티스,85910,4400.0,-0.17272727272727273,2017
330,(주)네오티스,85910,4200.0,-0.047619047619047616,2018
331,(주)네오티스,85910,3070.0,-0.36807817589576547,2019
332,(주)네오티스,85910,4030.0,0.23821339950372208,2020
333,(주)네오팜,92730,6870.0,0.3195050946142649,2011
334,(주)네오팜,92730,6170.0,-0.11345218800648298,2012
335,(주)네오팜,92730,5970.0,-0.03350083752093802,2013
336,(주)네오팜,92730,23100.0,0.7415584415584415,2014
337,(주)네오팜,92730,32550.0,0.2903225806451613,2015
338,(주)네오팜,92730,23800.0,-0.36764705882352944,2016
339,(주)네오팜,92730,59700.0,0.6013400335008375,2017
340,(주)네오팜,92730,59100.0,-0.01015228426395939,2018
341,(주)네오팜,92730,26250.0,-1.2514285714285713,2019
342,(주)네오팜,92730,33550.0,0.21758569299552907,2020
343,(주)네오퍼플,28090,1580.0,0.6651898734177215,2011
344,(주)네오펙트,290660,3760.0,-0.8377659574468085,2019
345,(주)네오펙트,290660,3050.0,-0.23278688524590163,2020
346,(주)네온테크,306620,1785.0,-0.13445378151260504,2019
347,(주)네온테크,306620,4120.0,0.566747572815534,2020
348,(주)네이블커뮤니케이션즈,153460,7380.0,-1.3170731707317074,2013
349,(주)네이블커뮤니케이션즈,153460,6500.0,-0.13538461538461538,2014
350,(주)네이블커뮤니케이션즈,153460,6800.0,0.04411764705882353,2015
351,(주)네이블커뮤니케이션즈,153460,6870.0,0.010189228529839884,2016
352,(주)네이블커뮤니케이션즈,153460,4835.0,-0.42088934850051707,2017
353,(주)네이블커뮤니케이션즈,153460,3825.0,-0.26405228758169935,2018
354,(주)네이블커뮤니케이션즈,153460,4670.0,0.1809421841541756,2019
355,(주)네이블커뮤니케이션즈,153460,6200.0,0.2467741935483871,2020
356,(주)네이처셀,7390,667.0,0.17691154422788605,2011
357,(주)네이처셀,7390,495.0,-0.3474747474747475,2012
358,(주)네이처셀,7390,1930.0,0.7435233160621761,2013
359,(주)네이처셀,7390,2890.0,0.33217993079584773,2014
360,(주)네이처셀,7390,5450.0,0.46972477064220186,2015
361,(주)네이처셀,7390,4305.0,-0.2659698025551684,2016
362,(주)네이처셀,7390,26850.0,0.8396648044692737,2017
363,(주)네이처셀,7390,12550.0,-1.1394422310756973,2018
364,(주)네이처셀,7390,8900.0,-0.4101123595505618,2019
365,(주)네이처셀,7390,9970.0,0.10732196589769308,2020
366,(주)네패스,33640,20350.0,-0.056511056511056514,2011
367,(주)네패스,33640,17850.0,-0.1400560224089636,2012
368,(주)네패스,33640,8010.0,-1.2284644194756553,2013
369,(주)네패스,33640,9500.0,0.1568421052631579,2014
370,(주)네패스,33640,6140.0,-0.5472312703583062,2015
371,(주)네패스,33640,10950.0,0.4392694063926941,2016
372,(주)네패스,33640,8450.0,-0.2958579881656805,2017
373,(주)네패스,33640,15750.0,0.4634920634920635,2018
374,(주)네패스,33640,28700.0,0.45121951219512196,2019
375,(주)네패스,33640,37750.0,0.23973509933774834,2020
376,(주)넥스지,81970,4655.0,0.3157894736842105,2011
