,회사명,거래소코드,회계년도,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
108,(주)골프존뉴딘홀딩스,121440,2014/12,17.65505546,104.3751719,-5.303311787,63.66692123,-36.92828791,14.56670033,19.4715245,10000
109,(주)골프존뉴딘홀딩스,121440,2015/12,-61.69915642,-11.66397709,-21.50733343,14.50220316,-45.03243318,13.35862317,0.693920812,999.366729
110,(주)골프존뉴딘홀딩스,121440,2016/12,47.85506674,-0.679859691,41.01230249,-1.747965156,5.313461491,-4.221015334,-0.853907211,10000
111,(주)골프존뉴딘홀딩스,121440,2017/12,-12.13380551,-1.085130596,19.21544337,-2.931946152,14.69360847,-5.145885364,-0.561531678,10000
112,(주)골프존뉴딘홀딩스,121440,2018/12,4.341333034,-3.61237763,27.37013182,5.57323504,-14.80988346,-2.983109179,2.411416671,-66.99758903
113,(주)골프존뉴딘홀딩스,121440,2019/12,2.644787754,-5.13111024,-5.834031982,-3.572487063,25.75559613,-7.978347077,0.211858679,351.3400437
114,(주)골프존뉴딘홀딩스,121440,2020/12,27.55793024,-78.93296762,-3.59691898,-1.822734397,24.85292047,4.983007195,2.496735188,10000
115,(주)공구우먼,366030,2017/12,-99.99657564,10000,10000,10000,10000,10000,10000,10000
116,(주)공구우먼,366030,2018/12,0,10000,10000,10000,10000,10000,10000,10000
117,(주)공구우먼,366030,2019/12,0,10000,10000,10000,10000,10000,10000,10000
118,(주)공구우먼,366030,2020/12,326734.11,10000,10000,10000,10000,10000,10000,10000
119,(주)광림,14200,2010/12,185.8775022,10000,10000,10000,10000,10000,10000,10000
120,(주)광림,14200,2011/12,13.97860677,0.12789957,-29.20271258,-5.611811091,-30.59788469,3.045319202,-21.7433166,19.12309372
121,(주)광림,14200,2012/12,-19.88142338,0.490086114,10.82989169,-1.834703904,8.272560971,12.04219743,3.952406962,-77.30121409
122,(주)광림,14200,2013/12,21.23654411,0.296950748,-26.84245234,-3.130919197,24.21098453,2.038552162,13.17483025,178.1022707
123,(주)광림,14200,2014/12,123.7447209,136.9356717,276.4219629,170.4535413,125.5258953,99.0389109,141.0475495,-56.28870152
124,(주)광림,14200,2015/12,2.495860012,-56.90358829,-71.96485477,-6.541380586,-61.57457063,-37.27318334,-40.24220733,10000
125,(주)광림,14200,2016/12,-63.1979161,190.0819512,23.04357637,59.48014912,52.91246003,40.30523599,56.89400733,10000
126,(주)광림,14200,2017/12,54.85333734,-17.95484681,-17.9530116,-8.199384871,-11.27827071,-5.123323695,-9.380984365,684.714696
127,(주)광림,14200,2018/12,1.038335545,1.644356939,15.98674701,-13.39309616,-3.64612118,-16.35745717,-9.730769553,52.21307839
128,(주)광림,14200,2019/12,6.785653679,1.962174901,9.887780997,22.62884628,52.04228905,0.773695507,34.42560031,-73.15862626
129,(주)광림,14200,2020/12,10.52768787,5.611253229,-19.49934271,-15.00510233,-17.1546019,-10.08991669,-15.98017389,275.5174402
130,(주)광무,29480,2010/12,-49.29476813,10000,10000,10000,10000,10000,10000,10000
131,(주)광무,29480,2011/12,-36.68884677,319.2896009,-24.40614391,-12.61191134,-39.5261532,-22.79057357,-28.38288273,231.5070279
132,(주)광무,29480,2012/12,-20.43543305,-31.212347,-31.63632707,-16.57279989,-36.72129061,-22.00381554,-26.54221306,-78.5143781
133,(주)광무,29480,2013/12,-50.13372332,-11.65187243,-32.88780314,-34.17439373,-39.8036228,-70.22186471,-36.57375569,168.6995891
134,(주)광무,29480,2014/12,87.0514792,-21.51326286,-95.48300896,-12.73652907,-33.80194501,-3.200849375,-21.25807219,-97.006686
135,(주)광무,29480,2015/12,-54.05194999,-6.338554688,106.7221169,-13.81524196,-44.20939577,-8.947180925,-24.15183576,217.2836304
136,(주)광무,29480,2016/12,49.75758553,-0.683591113,49.81738848,8.5134533,124.9870378,3.98709941,37.64950872,10000
137,(주)광무,29480,2017/12,-18.49796426,-3.735812551,-73.5822743,-18.58155089,25.69356211,68.28245707,-0.478742216,10000
138,(주)광무,29480,2018/12,7.121263391,8.657251815,202.8987428,-20.50119992,15.7293453,-20.83030215,-1.791868694,48.04267151
139,(주)광무,29480,2019/12,58.11082247,-53.29321847,-11.50833023,114.1193239,127.1931865,112.9151095,122.0751148,23.92952412
140,(주)광무,29480,2020/12,-30.99485393,-47.25292293,-64.95256137,-2.344038346,-60.94484242,6.031569084,-38.82602041,212.0478098
141,(주)구영테크,53270,2010/12,497.9788188,10000,10000,10000,10000,10000,10000,10000
142,(주)구영테크,53270,2011/12,-1.80262006,-5.074527708,2.886475348,1.475055314,10.20881144,0.422165899,4.742746794,10000
143,(주)구영테크,53270,2012/12,5.382228507,5.364303562,23.00014239,4.620697351,12.75272245,0.146388812,7.822031155,10000
144,(주)구영테크,53270,2013/12,10.88544718,-1.015473506,-5.15759611,0.758630465,-19.06983672,6.369975586,-7.404202716,31.89228457
145,(주)구영테크,53270,2014/12,-1.284316336,3.786973695,22.12384389,3.35547791,6.371945603,33.79750433,4.440827378,-0.130759596
146,(주)구영테크,53270,2015/12,0.911491763,5.596422623,-9.039550565,3.800220185,3.013726811,8.021583547,3.512001066,94.32820019
147,(주)구영테크,53270,2016/12,-13.81975281,7.512123105,-0.047753814,9.868428749,-7.983107133,2.445103008,3.358028946,-36.92102283
148,(주)구영테크,53270,2017/12,1.032868176,11.41188041,1.535967379,9.111883188,18.47146162,-3.408169059,12.15075051,-43.82302044
149,(주)구영테크,53270,2018/12,30.30365395,21.12975149,57.13700338,15.43046089,-5.294674322,23.32308226,8.32218244,305.8658137
150,(주)구영테크,53270,2019/12,18.24180496,-5.989134226,8.893720367,-3.824242252,15.50890587,4.179062803,1.973068273,-43.49053601
151,(주)구영테크,53270,2020/12,-14.811494,7.026182239,-25.94071099,2.404435914,2.733097666,-3.063548933,2.516072128,-78.30599442
152,(주)국보디자인,66620,2010/12,-40.33043126,10000,10000,10000,10000,10000,10000,10000
153,(주)국보디자인,66620,2011/12,11.37077937,4.431709251,10000,-12.93687319,8.521984895,11.93283615,2.017742009,9.874361019
154,(주)국보디자인,66620,2012/12,-8.63625382,52.79084359,,-10.65102802,25.03780535,19.56848353,15.80611689,36.75182455
155,(주)국보디자인,66620,2013/12,36.94676481,-1.918503846,,35.03661807,38.37726343,13.95570574,37.71055304,32.05491054
156,(주)국보디자인,66620,2014/12,7.861720949,18.43438213,,0.072515595,3.977324883,13.34311502,3.213152301,0.056547727
157,(주)국보디자인,66620,2015/12,9.204643859,167.4104676,,35.72215869,0.121601579,12.04625559,6.876639592,-1.590456439
