[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
67.26,0.59,4.29,15.09,2.03,51.63,5.82,4.4,45.28,2014,0
55.26,0.78,33.58,27.13,3.6,27.98,-0.09,-1.26,11.04,2017,0
45.53,0.73,53.79,34.79,5.45,23.48,11.32,7.62,57.29,2016,0
60.78,1.04,12.72,43.59,3.23,14.37,7.0,8.85,39.47,2016,0
59.88,1.11,33.18,36.46,9.38,28.33,14.68,21.01,37.94,2013,0
70.46,0.92,36.3,32.91,9.16,-15.27,14.79,16.6,58.33,2014,0
72.2,1.03,59.89,37.19,7.23,-14.85,5.82,8.57,43.29,2018,0
56.03,1.09,29.89,33.77,3.21,46.27,0.14,0.18,12.9,2012,0
59.96,1.26,30.67,39.1,2.92,5.15,8.04,11.29,39.73,2013,0
69.23,0.92,39.87,37.7,2.07,0.17,9.74,11.4,46.84,2015,0
70.75,0.84,44.32,30.16,1.92,6.71,9.84,10.09,44.1,2016,0
53.59,0.39,0.0,31.42,7.33,88.66,7.73,3.04,54.74,2016,0
47.0,1.82,13.31,19.48,15.36,29.01,5.33,7.27,63.82,2012,0
88.53,1.09,55.08,25.91,4.9,12.41,7.81,12.1,55.33,2013,0
89.1,1.15,47.77,33.21,5.49,26.93,9.04,14.99,62.11,2015,0
91.45,1.19,44.14,32.04,5.52,2.3,6.79,11.87,43.34,2017,0
83.64,1.23,48.81,36.04,5.3,113.55,6.18,11.4,45.8,2018,0
50.69,1.57,38.04,31.51,9.64,6.1,6.26,7.9,41.75,2014,0
39.9,2.22,23.85,25.34,14.64,31.85,6.97,11.98,44.78,2015,0
75.18,0.93,31.31,30.0,4.28,29.93,10.58,11.94,48.92,2013,0
76.75,0.98,28.08,34.69,4.9,8.57,9.77,12.17,46.35,2014,0
75.23,1.0,34.52,36.39,3.62,12.99,6.14,8.97,36.35,2017,0
43.18,0.95,70.53,40.18,6.43,35.41,3.91,2.78,52.11,2011,0
40.76,1.82,16.73,33.07,6.78,13.11,7.68,12.42,37.07,2015,0
38.72,1.88,14.38,31.8,7.46,15.14,8.92,11.68,37.72,2016,0
34.16,1.74,16.15,39.0,7.01,17.9,3.4,4.26,24.94,2017,0
54.79,2.19,52.84,119.21,9.45,-3.75,1.03,5.31,39.2,2012,0
52.67,2.31,35.43,102.23,7.86,-16.65,-0.21,-1.11,29.81,2016,0
51.38,1.32,35.56,115.39,4.91,-0.65,3.95,10.29,39.62,2016,0
